"","cov_num","study_id","title","rev_name","notes","num_res","num_wb","study_aim","mgmt_concerns","mgmt_strat","country","res_name","lat_dd","long_dd","num_yrs","sampling_regime","sampling_months","depth_max_m","depth_mean_m","depth_min_m","volume_m3","sa_km2","sa_ha","delta_water_level","delta_magnitude","trophic_status","tp_ug_l","tp_original","mean_chlorophyll_concentration_units","number_of_sites_within_the_reservoir","one_depth_or_multiple_depths","seasons","what_physical_variables_were_measured","what_chemical_variables_were_measured","what_biotic_variables_were_measured","how_was_water_level_measured","what_was_the_phytoplankton_response_to_decreases_in_water_level_or_drought","phyto_response_wl_decrease","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_decreases_if_reported","what_was_the_phytoplankton_response_to_increases_in_water_level_refill_or_flooding","phyto_response_wl_increase","quantify_the_change_in_phytoplankton_or_chlorophyll_in_response_to_water_level_if_reported","what_was_the_cyanobacterial_response_to_decreases_in_water_level_or_drought","cyano_response_wl_decrease","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported","what_was_the_cyanobacterial_response_to_increases_in_water_level_refill_or_flooding","cyano_response_wl_increase","quantify_the_change_in_cyanobacteria_in_response_to_water_level_increases_if_reported_2","what_variables_were_identified_as_significant_drivers_of_phytoplankton_community","this_paper_is_exemplary"
"11",286,"Beaver 2018","Long-term trends in seasonal plankton dynamics in Lake Mead (Nevada-Arizona; USA) and implications for climate change","Consensus","we are going to remove this one since it doesn't test for water level; just observations during a drought","No",1,"Aimed to characterize the response of phytoplankton and zooplankton communities to both linear and dynamic environmental changes across a 9 year time frame.","drought","drawdown","United States","Lake Mead","36.25","-114.39",9,"quarterly","January; April; August; December","","","not reported","not reported","not reported","not reported","40","","oligo-mesotrophic",9,"9 (ug/L)","","17","Integrated sample","spring; summer; fall; winter; rainy; dry","water temperature; secchi/transparency","pH; dissolved oxygen (DO); total phosphorus (TP); conductivity","phytoplankton microscopy; cyanobacterial toxins","ground-based measurements",NA,NA,"",NA,"",NA,"Other: Microcystis bloom following a warm winter when water levels were low-- concentrations ranged up to 4696 ug/L","increase","",NA,NA,NA,"water temperature; Other: secchi depth",NA
"12",245,"Zhou 2022","Phytoplankton succession phenology trends in the backwaters of the three gorges reservoir in China and their drivers: Results from satellite observations","Consensus","samples were collected in 4 backwaters of TGR. maximum depth of the reservoir is 175 m; max depth of backwaters are shallower","No",1,"""we attempt to (1) characterize the long-term trends in the phytoplankton phenology using several metrics; including the initiation; succession; and termination dates; in the TGR backwaters based on the Chla and Cyano-Chlorophyta index (CCI) time series derived from satellite imagery and (2) elucidate the environmental factors that drive the identified long-term trends in phytoplankton phenology; particularly focusing on the seasonal suc­cession phenology; in order to confirm whether the hypothetical reser­voir ecological regulation can be realized by adjusting the water level to 
 guide the dynamics of phytoplankton habitat in the TGR backwaters; 
 thereby alleviating the harmful phytoplankton blooms""","drawdown; water level fluctuation","drawdown","China","Three Gorges Reservoir",NA,NA,12,"Other: 12 years of remote sensing data; data validated with 39 monitored samples from 2017-18","All months","175","","not reported","not reported","not reported","not reported","20","","not reported",NA,NA,"","4","Other: remote sensing; so ultimately an integrated sample to some depth","","turbidity","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+)","sensor chlorophyll (ug/L); Other: satellite chla","ground-based measurements","increase in phytoplankton quantity","increase","see paper for more complete information","decrease in phytoplankton quantity","decrease","mean chla in the high water level running period and reservoir storage period were 11.2 and 12.8 respectively; mean chla concentrations during spring discharge and summer flood (low water level) were 34.1 and 27.5ug/L respectively. See the paper for more information and additional sites",NA,NA,NA,NA,NA,NA,"water level; air temperature","Yes"
"13",228,"Sakharova 2018","Phytoplankton in the Littoral and Pelagial Zones of the Rybinsk Reservoir in Years with Different Temperature and Water-Level Regimes","Consensus","samples collected at shallow and deepwater sites","No",1,"""characterize features ofthe phytoplankton formation in different littoral shallow water areas and in the deepwater part of the Rybinsk Reservoir in years with different temperature and level regimes""","drawdown",NA,"Russia","Rybinsk Reservoir",NA,NA,2,"Other: 1-6 times a month","April; May; June; July; August; September","","","not reported","not reported","not reported","not reported","1","","not reported",NA,NA,"",NA,"not reported","NR",NA,"","phytoplankton microscopy","","Other: floristic richness increased","other","average biomass decreased >1.5times in the littoral zone and 3-4times in the pelagic zone associated with decreases in water level and increases in temperature",NA,"",NA,NA,NA,NA,NA,NA,NA,"Other: temperature and water level were identified; no tests of significance",NA
"14",215,"Robert 2021","Environmental determinants of <i>E</i>. <i>coli</i>; link with the diarrheal diseases; and indication of vulnerability criteria in tropical West Africa (Kapore; Burkina Faso)","Consensus","E.coli. Highest levels of e coli during the rainy season; e coli is more correlated with rainfall than with water level","No",1,"combining microbiological monitoring; hydrometeorological parameters and epidemiological analysis.","drought",NA,"Burkina Faso","Bagre Reservoir",NA,NA,1,"weekly","All months","","","not reported","not reported","not reported","not reported","7","","not reported",NA,NA,"",NA,"One depth","rainy; dry; Other: two dry periods: dry and hot and dry and cooler","","","pathogens","remote sensing",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"15",206,"MacDonagh 2009","Plankton relationships under small water level fluctuations in a subtropical reservoir","Consensus","","No",1,"Examine how hydrology (rainy years with a lot of surface spill and higher renewal rates) affect phytoplankton and zooplankton.","water level fluctuation","epilimnion selective withdrawal","Argentina","Río Tercero Reservoir","-32.1939","-64.4325",2,"Other: bimonthly","February; April; June; August; October; December","46.5","12.2","not reported","7100000","46","4600","2.97","","not reported",22.33,"22.33 ug/L","","3","Integrated sample","rainy; dry","water temperature; secchi/transparency; light (PAR; photic zone)","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity; Other: silica","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton","ground-based measurements","shift in phytoplankton groups; not significant","shift","","shift in phytoplankton groups; not significant","not significant","not reported",NA,NA,NA,NA,NA,NA,"precipitation; light (PAR or secchi depth); water temperature; phosphorus; nitrogen",""
"16",178,"Su 2017","Reducing production of taste and odor by deep-living cyanobacteria in drinking water reservoirs by regulation of water level","Consensus","this paper only looked at shallow area's risk for planktothrix; but is a deep enough reservoir. They found that shallow areas are at the highest risk of planktothrix blooms; so expect to see increased blooms as water levels fall. More info about study location in Su et al. 2015","No",1,"""This study explores a possible novel strategy based on water level regulation to reduce the underwater light availability; thereby to prevent the blooming of MIB-producing cyanobacteria.""","drawdown",NA,"China","Miyun","","",4,"Other: a total of 27 samples were collected","","","","not reported","not reported","not reported","not reported","not reported","","not reported",NA,NA,"",NA,"remote sensing","NR",NA,"","single cyanobacterial taxon","remote sensing",NA,NA,"",NA,"",NA,"increase in cyanobacterial quantity","increase","",NA,NA,"the reservoir is at a higher risk for planktothrix blooms in the shallow zones as water levels decrease","",NA
"17",165,"Fadel 2015","Environmental factors associated with phytoplankton succession in a Mediterranean reservoir with a highly fluctuating water level","Consensus","had six sites, only reported information from one of them","No",1,"""In this study; we try to (1) present the temporal variation of
 physico-chemical parameters in Karaoun Reservoir; (2) identify its phytoplankton composition and (3) understand the processes controlling phytoplankton succession in this reservoir with a high water level fluctuation""","water level fluctuation",NA,"Lebanon","Karaoun Reservoir","33.5697089","35.6953841",1.25,"Other: fortnightly","All months","60","19","35","224000000","not reported","not reported","22","","not reported",225,"50-400 ug/L - would guess eutrophic!","","1","Multiple depths","rainy; dry","water temperature; secchi/transparency","dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); nitrate (NO3); ammonia/ammonium (NH4/NH3+)","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton microscopy","ground-based measurements","increase in phytoplankton quantity; shift in phytoplankton groups","increase","","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","not reported","increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton","increase","","decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community","decrease",NA,"light (PAR or secchi depth); water temperature; phosphorus; Other: thermal stratification",NA
"18",143,"Olds 2011","Water quality parameters of a Nebraska reservoir differ between drought and normal conditions","Consensus","system doesn't stratify due to wind","No",1,"Compare water quality between a 4 year drought and 3 years of normal conditions","drought",NA,"United States","Harlan County Reservoir","40.0621","-99.2897",7,"Other: biweekly","April; May; June; July; August; September; October","18","4","not reported","not reported","53.62","5362","not reported","50","not reported",NA,NA,"","15","Integrated sample","NR","water temperature; turbidity; Other: inflow; water level; and precipitation","dissolved oxygen (DO)","sensor chlorophyll (ug/L)","ground-based measurements","increase in phytoplankton quantity","increase","","decrease in phytoplankton quantity","decrease","five fold decline in chlorophyll between highest mean at peak drought and lowest mean at return to normal (117.6 to 24.5 ug/L)",NA,NA,NA,NA,NA,NA,"Other: NA; didn't examine drivers; just compared drought to non-drought",""
"19",141,"Huang 2023","Reducing the water residence time is inadequate to limit the algal proliferation in eutrophic lakes","Consensus","not sure this fits the water level criteria? they determine that in a basin of Lake Taihu; reducing the WRT to 3 days is insufficient to prevent algal blooms","No",1,"assess the effect of flushing (reducing water residence time to 3 days) on the growth of cyanobacteria and occurrence of blooms","","hydraulic flushing","China","Lake Taihu","","",1,"quarterly","January; May; July; October","","","not reported","not reported","not reported","not reported","not reported","not reported","not reported",NA,NA,"11.14 ug/L","5","One depth","NR","water temperature; secchi/transparency; turbidity","pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); Other: chemical oxygen demand","filtered chlorophyll (ug/L); phytoplankton microscopy","Other: not measured",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"phosphorus; nitrogen",NA
"20",140,"Pan 2018","Effects of Water Level Increase on Phytoplankton Assemblages in a Drinking Water Reservoir","Consensus","Unique-- inundation of previously unflooded land. Nice literature review in discussion","No",1,"Examine how a managed filling of the reservoir affected phytoplankton assemblage (sampling before; during and after).",NA,"refill","China","Danjiangkou Reservoir","32.7273","111.56",3,"","January; May; July; October","80",NA,"not reported","290500000000","1050",NA,"24",">40%","not reported",33,"0.033 mg/L (0.02-0.05 depending on time frame)","","10","One depth","dry; monsoon","water temperature; secchi/transparency","pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); conductivity; Other: COD","phytoplankton microscopy","ground-based measurements",NA,NA,"","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","Decrease from 7.4 mg/L phytoplankton biomass before refill and 4.9 mg/L during refill; 2.3 mg/L after refill. More muted seasonal pattern in assemblages.",NA,NA,"","increase in cyanobacterial quantity","increase","Increased Lyngbya sp. after refill (October 2015)-- a group that can produce potent lethal neurotoxins; but toxin testing was not done as part of this study","water level; water temperature; pH; phosphorus; Other: COD",""
"21",128,"Pham 2021","Toxic cyanobacteria and microcystin dynamics in a tropical reservoir: assessing the influence of environmental variables","Consensus","The study correlates monthly observations with water level; but unclear how well season was disentangled from water level-- authors do say that water level is dependent on reservoir operations","No",1,"Investigate dynamic of toxic cyanobacteria and microcystin concentration in a tropical reservoir","water level fluctuation","drawdown","Vietnam","Tri An","11.2057","107.1479",1,"monthly","All months","27","8.5","not reported","2700000000","320",NA,"12","","eutrophic",140,"0.1-0.18 mg/L","","5","One depth","rainy; dry","water temperature; secchi/transparency; light (PAR; photic zone); total suspended solids; Other: rainfall","pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); nitrate (NO3)","filtered chlorophyll (ug/L); phytoplankton microscopy; Other: DNA qPCR","ground-based measurements","increase in phytoplankton quantity","increase","",NA,"",NA,"increase in cyanobacterial quantity; Other: increase in microcystins","increase","",NA,NA,NA,"water level; precipitation; light (PAR or secchi depth); phosphorus; nitrogen",""
"22",71,"Li 2018","Impact of water level fluctuations on the development of phytoplankton in a large subtropical reservoir: implications for the management of cyanobacteria","Consensus","Compares 6 month ""low water"" and 6 month ""high water"" post flood","No",1,"Evaluate the influence of water level fluctuations (flood); temperature; stratification; and nutrients on the development of phytoplankton and cyanobacteria","water level fluctuation; flooding",NA,"China","Hongfeng","26.4806","106.4123",1,"monthly","All months","45","11","not reported","601000000","57.2",NA,"6","40%","not reported",90,"10-90 ug/L peaks up to 140 ug/L in summer","","6","Multiple depths","NR","water temperature; secchi/transparency; Other: relative thermal resistance","pH; total phosphorus (TP); conductivity","phytoplankton microscopy","ground-based measurements",NA,NA,"","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","3211 mm3 m-3 mean total biovolume in low level period; 2769 mm3 m-3 in high level",NA,NA,"","decrease in cyanobacterial quantity","decrease","Limnothrix; Oscillatoria; and Pseudanabaena went from 581 mm3 m-3 under low level to 153 mm3 m-3 under high water level","water level; water temperature; Other: relative thermal resistance",""
"23",68,"Magalhaes 2019","Environmental factors driving the dominance of the harmful bloom-forming cyanobacteria <i>Microcystis</i> and <i>Aphanocapsa</i> in a tropical water supply reservoir","Consensus","an alum treatment was applied in 2015; modified clay was applied in 2016 and 2017; no crest gate controlling the overflow; this paper has a lot of really interesting and valuable info and the associated figures have six years of microcystis and aphanocapsa with water level; did not specify number of sites within the reservoir; assuming 1","No",1,"Surveyed the abundance and compositional changes of cyanobacteria in a tropical reservoir and analyzed effects of environmental factors using generalized linear models on a 6 year dataset","water level fluctuation",NA,"Brazil","Joanes Reservoir I","-12.568109","-38.199562",7,"monthly; Other: fortnightly","All months","16.78","","14.42","not reported","186",NA,"not reported","not reported","not reported",80,"0.08mg/L","","1","Other: chemical variables and phytoplankton samples except for 2015 were collected at one depth (0.5m); 2015 phytoplankton samples were collected at 3 depths","summer; winter; Other: ""characterized by two seasons; summer (October–
 February); with low rainfall index and high temperatures; and 
 winter (April–August); with more intense rainfall regime and 
 milder temperatures""","water temperature; turbidity","pH; total phosphorus (TP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); metals; conductivity; Other: BOD; aluminum; sulfate","phytoplankton microscopy; cyanobacterial toxins","ground-based measurements",NA,NA,"",NA,"",NA,"increase in cyanobacterial quantity","increase","the model could quantify this; but was not directly reported","decrease in cyanobacterial quantity","decrease","the model could quantify this; but was not directly reported","water level; precipitation; phosphorus; Other: aluminum","Yes"
"24",66,"Pham 2022","Factors affecting the seasonal succession of phytoplankton functional groups in a tropical floodplain reservoir in Vietnam","Consensus","","No",1,"Examine response of phytoplankton functional groups to hydrologic regime & physiochemical variables.","water level fluctuation",NA,"Vietnam","Tri An","11.1832","107.1567",1,"monthly","All months",NA,NA,"not reported","2700000000","320",NA,"9.2","not reported","eutrophic",NA,NA,"","6","One depth","rainy; dry","water temperature; secchi/transparency; total suspended solids","pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); total kjeldahl nitrogen (TKN); nitrate (NO3); dissolved inorganic nitrogen (DIN)","filtered chlorophyll (ug/L); phytoplankton microscopy","ground-based measurements","decrease in phytoplankton quantity; shift in phytoplankton groups","decrease","","increase in phytoplankton quantity; shift in phytoplankton groups","increase","not reported","decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community","decrease","Microcystis was generally less than half of total biomass in dry season; but consistently dominated during dry season; comprising up to 81.6% of total biomass.","increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton","increase","Microcystis bloom during rainy season; high water.","water level; precipitation; light (PAR or secchi depth); water temperature; Other: water level measured as water depth... other chemical predictors on secondary axis; but primary axis explained most of the variance",""
