"Lake or Reservoir Name","Country","Latitude (decimal degrees)","Longitude (decimal degrees)","Trophic Status","Did water level increase or decrease?","Did phytoplankton increase?","Did cyanobacteria increase?","Study ID"
"Kuibyshev","Russia","53.65","48.93","oligo-mesotrophic","decrease","yes","yes","Khaliullina 2022"
"Kuibyshev Reservoir","Russia","not reported","not reported","not reported","decrease","yes","not reported","Khaliullina 2009"
"Lake Austin","United States","30.3","-97.79","oligo-mesotrophic","decrease","yes","yes","Bellinger 2018"
"Lake Buchanan","USA","30.8","-98.4","eu-hypereutrophic","decrease","yes","yes","Gámez 2023"
"Lake Diefenbaker","Canada","51.03","-106.84","oligo-mesotrophic","decrease","yes","yes","Abirhire 2019"
"Lake Diefenbaker","Canada","51.03","-106.84","oligo-mesotrophic","decrease","no","yes","Abirhire 2023"
"Lake Francis Case","USA","43.1","not reported","oligo-mesotrophic","increase","no","not reported","Beaver 2013"
"Lake Kinneret","Israel","32.83","35.58","oligo-mesotrophic","increase","not reported","yes","Bakker 2016"
"Lake Kinneret","Israel","32.83","35.58","oligo-mesotrophic","decrease","not reported","yes","Bakker 2016"
"Lake Mead","United States","36.25","-114.39","oligo-mesotrophic","decrease","not reported","yes","Beaver 2018"
"Lake Oahe","USA","44.5","not reported","oligo-mesotrophic","increase","no","not reported","Beaver 2013"
"Lake Peipsi","Estonia","58.67","27.43","eu-hypereutrophic","increase","not reported","yes","Bakker 2016"
"Lake Peipsi","Estonia","58.67","27.43","eu-hypereutrophic","decrease","not reported","yes","Bakker 2016"
"Lake Sakakawea","USA","47.5","not reported","oligo-mesotrophic","increase","no","not reported","Beaver 2013"
"Lake Sakakawea","USA","47.5","not reported","oligo-mesotrophic","decrease","not reported","yes","Beaver 2013"
"Lake Sharpe","USA","44","not reported","oligo-mesotrophic","increase","no","not reported","Beaver 2013"
"Lewis and Clark Lake","USA","42.9","not reported","eu-hypereutrophic","increase","no","not reported","Beaver 2013"
"Maggiore","Italy","45.92","8.53","oligo-mesotrophic","increase","not reported","yes","Bakker 2016"
"Maggiore","Italy","45.92","8.53","oligo-mesotrophic","decrease","not reported","yes","Bakker 2016"
"Miyun","China","not reported","not reported","not reported","decrease","not reported","yes","Su 2017"
"Orós","Brazil","not reported","not reported","not reported","increase","yes","not reported","Carvalho 2022"
"Orós","Brazil","not reported","not reported","not reported","decrease","no","not reported","Carvalho 2022"
"Pengxi River","China","30.95","108.64","eu-hypereutrophic","increase","no","no","Xiao 2016"
"Rybinsk Reservoir","Russia","not reported","not reported","not reported","decrease","no","not reported","Sakharova 2018"
"Rybinsk Reservoir","Russia","58.41","38.34","oligo-mesotrophic","increase","no","no","Mineeva 2021"
"Rybinsk Reservoir","Russia","58.41","38.34","oligo-mesotrophic","decrease","yes","yes","Mineeva 2021"
"Río Tercero Reservoir","Argentina","-32.19","-64.43","oligo-mesotrophic","increase","no","not reported","MacDonagh 2009"
"Río Tercero Reservoir","Argentina","-32.19","-64.43","oligo-mesotrophic","decrease","no","not reported","MacDonagh 2009"
"Taechung Reservoir","South Korea","36.83","127.83","not reported","increase","no","not reported","An 2003"
"Three Gorges Reservoir","China","not reported","not reported","not reported","increase","no","not reported","Zhou 2022"
"Three Gorges Reservoir","China","not reported","not reported","not reported","decrease","yes","not reported","Zhou 2022"
"Three Gorges Reservoir (specifically in Xiangxi Bay)","China","30.83","111","eu-hypereutrophic","increase","no","not reported","Ye 2022"
"Three Gorges Reservoir (specifically in Xiangxi Bay)","China","30.83","111","eu-hypereutrophic","decrease","no","not reported","Ye 2022"
"Tri An","Vietnam","11.21","107.15","eu-hypereutrophic","decrease","yes","yes","Pham 2021"
"Tri An","Vietnam","11.18","107.16","eu-hypereutrophic","increase","yes","yes","Pham 2022"
"Tri An","Vietnam","11.18","107.16","eu-hypereutrophic","decrease","no","no","Pham 2022"
"Yale","USA","28.91","-81.74","eu-hypereutrophic","decrease","not reported","yes","Havens 2019"
"Zipingpu Reservoir","China","31.02","103.54","not reported","increase","yes","not reported","Liao 2024"
