"cov_num","study_id","aim","num_waterbodies","biotic_vars","mgmt_concerns","mgmt_strat"
128,"Pham 2021","Investigate dynamic of toxic cyanobacteria and microcystin concentration in a tropical reservoir",1,"filtered chlorophyll (ug/L); phytoplankton microscopy; Other: DNA qPCR","water level fluctuation","drawdown"
72,"Mendes 2022","""The present study evaluated the effects of water volume reduction on cyanobacterial abundance and heterocyst production in semiarid tropical reservoirs during a period of prolonged drought.""",3,"filtered chlorophyll (ug/L); phytoplankton microscopy","drought; drawdown",NA
71,"Li 2018","Evaluate the influence of water level fluctuations (flood), temperature, stratification, and nutrients on the development of phytoplankton and cyanobacteria",1,"phytoplankton microscopy","water level fluctuation; flooding",NA
68,"Magalhaes 2019","Surveyed the abundance and compositional changes of cyanobacteria in a tropical reservoir and analyzed effects of environmental factors using generalized linear models on a 6 year dataset",1,"phytoplankton microscopy; cyanobacterial toxins","water level fluctuation",NA
66,"Pham 2022","Examine response of phytoplankton functional groups to hydrologic regime & physiochemical variables.",1,"filtered chlorophyll (ug/L); phytoplankton microscopy","water level fluctuation",NA
64,"Abirhire 2019","assessed effect of hydrological drought on chl-a using 31 years of hydrologic data and remotely sensed chl-a",1,"filtered chlorophyll (ug/L)","drought",NA
63,"Abirhire 2023","investigating how changes in flow (high flow vs. low flow years) affect major phytoplankton groups and cyanobacterial community in the river-reservoir using a 9-year timeseries",1,"phytoplankton microscopy",NA,NA
55,"Bellinger 2018","Look at the effects of changing residence times (hydraulic pulsing rates) on ecosystem biophysicochemistry (cyanobacteria blooms, deep water hypoxia, submerged aquatic vegetation)",1,"filtered chlorophyll (ug/L); phytoplankton microscopy; Other: submerged aquatic vegetation surveys","drought; drawdown","hydraulic flushing; drawdown"
53,"Gámez 2023","investigate probability of cyanoHABs in subtropical reservoir under drought",1,"phytoplankton microscopy","drought",NA
50,"Havens 2019","assessing hydrologic factors controlling dynamics of cyanobacteria in shallow lakes in Florida",3,NA,"drought; water level fluctuation",NA
32,"Ye 2022","aimed to examine whether water level fluctuation is a causal factor driving the dynamics of phytoplankton biomass and whether water level regulation can be used to control blooms",1,"filtered chlorophyll (ug/L)","water level fluctuation",NA
25,"Song 2023","""The aim is to (1)  reveal the effects of selective withdrawal on the algal growth process and its limiting factors, (2) explore changes in hydrodynamic charac­teristics under selective withdrawal scenarios, and (3) analyze the re­lationships between hydrodynamic conditions and algal blooms in the reservoir.""",1,"filtered chlorophyll (ug/L)",NA,"hypolimnion selective withdrawal; metalimnion selective withdrawal; epilimnion selective withdrawal"
21,"Liao 2024","investigate the impact of water level operations on algal blooms in a canyon reservoir",1,"filtered chlorophyll (ug/L); phytoplankton microscopy","water level fluctuation","refill; drawdown"
20,"Bakker 2016","review of 12 case studies reporting water level fluctuations",12,NA,"water level fluctuation",NA
