Covidence #,Study ID,Title,Reviewer Name,Notes,This study has more than one reservoir,How many waterbodies are in this study?,Aim of study,This study addresses the following management concerns...,This study addresses the following management strategies...,Country where the reservoir is located,Reservoir Name,Latitude and Longitude:,Decimal Degrees Latitude,Decimal Degrees Longitude,Number of years of study,Samples were collected... ,Months samples were collected in,Physical reservoir characteristics:,Reservoir Size Max depth,Reservoir Size Mean depth,Reservoir Size Min depth,Reservoir Size Volume (m^3),Reservoir Size Surface area (km^2),Reservoir Size Surface area (ha),Water level change (m),Water level change magnitude,Trophic Status,Total Phosphorus (units),Mean chlorophyll concentration (units),Number of sites within the reservoir,One depth or multiple depths,Seasons,What physical variables were measured?,What chemical variables were measured?,What biotic variables were measured?,How was water level measured?,What was the phytoplankton response to decreases in water level or drought?,"Quantify the change in phytoplankton or chlorophyll in response to water level decreases, if reported","What was the phytoplankton response to increases in water level, refill, or flooding?","Quantify the change in phytoplankton or chlorophyll in response to water level, if reported.",What was the cyanobacterial response to decreases in water level or drought?,"Quantify the change in cyanobacteria in response to water level increases, if reported","What was the cyanobacterial response to increases in water level, refill, or flooding?","Quantify the change in cyanobacteria in response to water level increases, if reported. ",What variables were identified as significant drivers of phytoplankton community?,This paper is exemplary!
286,Beaver 2018,"Long-term trends in seasonal plankton dynamics in Lake Mead (Nevada-Arizona, USA) and implications for climate change",Consensus,"we are going to remove this one since it doesn't test for water level, just observations during a drought",No,1,Aimed to characterize the response of phytoplankton and zooplankton communities to both linear and dynamic environmental changes across a 9 year time frame.,drought,drawdown,United States,Lake Mead,,36.25,-114.39,9,quarterly,January; April; August; December,,,,,,,,40,,oligo-mesotrophic,9 (ug/L),,17,Integrated sample,spring; summer; fall; winter; rainy; dry,water temperature; secchi/transparency,pH; dissolved oxygen (DO); total phosphorus (TP); conductivity,phytoplankton microscopy; cyanobacterial toxins,ground-based measurements,NA,,NA,,Other: Microcystis bloom following a warm winter when water levels were low-- concentrations ranged up to 4696 ug/L,,NA,,water temperature; Other: secchi depth,
284,Beaver 2013,Response of phytoplankton and zooplankton communities in six reservoirs of the middle Missouri River (USA) to drought conditions and a major flood event,Consensus,,Yes,6,assesses drought and flood effects on phytoplankton community dynamics in six reservoirs of the middle Missouri River,drought; flooding,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
245,Zhou 2022,Phytoplankton succession phenology trends in the backwaters of the three gorges reservoir in China and their drivers: Results from satellite observations,Consensus,"samples were collected in 4 backwaters of TGR. maximum depth of the reservoir is 175 m, max depth of backwaters are shallower",No,1,"""we attempt to (1) characterize the long-term trends in the phytoplankton phenology using several metrics, including the initiation, succession, and termination dates, in the TGR backwaters based on the Chla and Cyano-Chlorophyta index (CCI) time series derived from satellite imagery and (2) elucidate the environmental factors that drive the identified long-term trends in phytoplankton phenology, particularly focusing on the seasonal suc­cession phenology, in order to confirm whether the hypothetical reser­voir ecological regulation can be realized by adjusting the water level to 
guide the dynamics of phytoplankton habitat in the TGR backwaters, 
thereby alleviating the harmful phytoplankton blooms""",drawdown; water level fluctuation,drawdown,China,Three Gorges Reservoir,,,,12,"Other: 12 years of remote sensing data, data validated with 39 monitored samples from 2017-18",All months,,175,,,,,,~20,,,,,4,"Other: remote sensing, so ultimately an integrated sample to some depth",,turbidity,pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); ammonia/ammonium (NH4/NH3+),sensor chlorophyll (ug/L); Other: satellite chla,ground-based measurements,increase in phytoplankton quantity,see paper for more complete information,decrease in phytoplankton quantity,"mean chla in the high water level running period and reservoir storage period were 11.2 and 12.8 respectively, mean chla concentrations during spring discharge and summer flood (low water level) were 34.1 and 27.5ug/L respectively. See the paper for more information and additional sites",NA,NA,NA,NA,water level; air temperature,Yes
228,Sakharova 2018,Phytoplankton in the Littoral and Pelagial Zones of the Rybinsk Reservoir in Years with Different Temperature and Water-Level Regimes,Consensus,samples collected at shallow and deepwater sites,No,1,"""characterize features ofthe phytoplankton formation in different littoral shallow water areas and in the deepwater part of the Rybinsk Reservoir in years with different temperature and level regimes""",drawdown,NA,Russia,Rybinsk Reservoir,,,,2,Other: 1-6 times a month,April; May; June; July; August; September,,,,,,,,"~1m overall, ~0.4m seasonally",,,,,,,,,,phytoplankton microscopy,,Other: floristic richness increased,average biomass decreased >1.5times in the littoral zone and 3-4times in the pelagic zone associated with decreases in water level and increases in temperature,NA,,NA,,NA,,"Other: temperature and water level were identified, no tests of significance",NA
215,Robert 2021,"Environmental determinants of <i>E</i>. <i>coli</i>, link with the diarrheal diseases, and indication of vulnerability criteria in tropical West Africa (Kapore, Burkina Faso)",Consensus,"E.coli. Highest levels of e coli during the rainy season, e coli is more correlated with rainfall than with water level",No,1,"combining microbiological monitoring, hydrometeorological parameters and epidemiological analysis. ",drought,,Burkina Faso,Bagre Reservoir,,,,1,weekly,All months,,,,,,,,~7,,not reported,,,,One depth,rainy; dry; Other: two dry periods: dry and hot and dry and cooler,,,pathogens,remote sensing,NA,,NA,,NA,,NA,,,NA
214,Carvalho 2022,Uncovering the influence of hydrological and climate variables in chlorophyll-A concentration in tropical reservoirs with machine learning,Consensus,,Yes,3,explore effects of hydrological and climate variables on chl-a in large drinking water supply reservoirs in a semi-arid region,water level fluctuation,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,MacDonagh 2009,Plankton relationships under small water level fluctuations in a subtropical reservoir,Consensus,,No,1,Examine how hydrology (rainy years with a lot of surface spill and higher renewal rates) affect phytoplankton and zooplankton.,water level fluctuation,epilimnion selective withdrawal,Argentina,Río Tercero Reservoir,,-32.1939,-64.4325,2,Other: bimonthly,February; April; June; August; October; December,,46.5,12.2,NA,7.1 x 10^6,NA,4600,2.97,,not reported,22.33 ug/L,,3,Integrated sample,rainy; dry,"water temperature; secchi/transparency; light (PAR, photic zone)",pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); conductivity; Other: silica,filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton,ground-based measurements,shift in phytoplankton groups; not significant,,shift in phytoplankton groups; not significant,,NA,,NA,,precipitation; light (PAR or secchi depth); water temperature; phosphorus; nitrogen,
178,Su 2017,Reducing production of taste and odor by deep-living cyanobacteria in drinking water reservoirs by regulation of water level,Consensus,"this paper only looked at shallow area's risk for planktothrix, but is a deep enough reservoir. They found that shallow areas are at the highest risk of planktothrix blooms, so expect to see increased blooms as water levels fall. More info about study location in Su et al. 2015",No,1,"""This study explores a possible novel strategy based on water level regulation to reduce the underwater light availability, thereby to prevent the blooming of MIB-producing cyanobacteria.""",drawdown,NA,China,Miyun,,,,,,,,,,,,,,,,,,,,,,,,single cyanobacterial taxon,remote sensing,NA,,NA,,increase in cyanobacterial quantity,,,the reservoir is at a higher risk for planktothrix blooms in the shallow zones as water levels decrease,,NA
165,Fadel 2015,Environmental factors associated with phytoplankton succession in a Mediterranean reservoir with a highly fluctuating water level,Consensus,,No,1,"""In this study, we try to (1) present the temporal variation of
physico-chemical parameters in Karaoun Reservoir, (2) identify its phytoplankton composition and (3) understand the processes controlling phytoplankton succession in this reservoir with a high water level fluctuation""",water level fluctuation,NA,Lebanon,Karaoun Reservoir,,33.5697089,35.6953841,1.25,Other: fortnightly,All months,,60,19,35,224 × 10^6 m3 ,,,22,,not reported,50-400 ug/L - would guess eutrophic!,,6 (only 1 reported),Multiple depths,rainy; dry,water temperature; secchi/transparency,dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); nitrate (NO3); ammonia/ammonium (NH4/NH3+),filtered chlorophyll (ug/L); phytoplankton microscopy; Other: zooplankton microscopy,ground-based measurements,increase in phytoplankton quantity; shift in phytoplankton groups,,decrease in phytoplankton quantity; shift in phytoplankton groups,,increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton,,decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community,,light (PAR or secchi depth); water temperature; phosphorus; Other: thermal stratification,NA
143,Olds 2011,Water quality parameters of a Nebraska reservoir differ between drought and normal conditions,Consensus,system doesn't stratify due to wind,No,1,Compare water quality between a 4 year drought and 3 years of normal conditions,drought,NA,United States,Harlan County Reservoir,,40.0621,-99.2897,7,Other: biweekly,April; May; June; July; August; September; October,,18,4,NA,NA,NA,5362,,50,,,,15,Integrated sample,,"water temperature; turbidity; Other: inflow, water level, and precipitation",dissolved oxygen (DO),sensor chlorophyll (ug/L),ground-based measurements,increase in phytoplankton quantity,,decrease in phytoplankton quantity,five fold decline in chlorophyll between highest mean at peak drought and lowest mean at return to normal (117.6 to 24.5 ug/L),NA,,NA,,"Other: NA, didn't examine drivers, just compared drought to non-drought",
141,Huang 2023,Reducing the water residence time is inadequate to limit the algal proliferation in eutrophic lakes,Consensus,"not sure this fits the water level criteria? they determine that in a basin of Lake Taihu, reducing the WRT to 3 days is insufficient to prevent algal blooms",No,1,assess the effect of flushing (reducing water residence time to 3 days) on the growth of cyanobacteria and occurrence of blooms,,hydraulic flushing,China,Lake Taihu,,,,1,quarterly,January; May; July; October,,,,,,,,n/a,n/a,,,11.14 ug/L,5,One depth,,water temperature; secchi/transparency; turbidity,pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); total nitrogen (TN); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); Other: chemical oxygen demand,filtered chlorophyll (ug/L); phytoplankton microscopy,Other: not measured,NA,n/a,NA,n/a,NA,n/a,NA,n/a,phosphorus; nitrogen,NA
140,Pan 2018,Effects of Water Level Increase on Phytoplankton Assemblages in a Drinking Water Reservoir,Consensus,Unique-- inundation of previously unflooded land.  Nice literature review in discussion,No,1,"Examine how a managed filling of the reservoir affected phytoplankton assemblage (sampling before, during and after).",NA,refill,China,Danjiangkou Reservoir,,32.7273,111.56,3,,January; May; July; October,,80,NA,NA,290.5 x 10^9,1050,NA,24,>40%,not reported,0.033 mg/L (0.02-0.05 depending on time frame),,10,One depth,dry; monsoon,water temperature; secchi/transparency,pH; dissolved oxygen (DO); total phosphorus (TP); total nitrogen (TN); conductivity; Other: COD,phytoplankton microscopy,ground-based measurements,NA,,decrease in phytoplankton quantity; shift in phytoplankton groups,"Decrease from 7.4 mg/L phytoplankton biomass before refill and 4.9 mg/L during refill, 2.3 mg/L after refill. More muted seasonal pattern in assemblages.",NA,,increase in cyanobacterial quantity,"Increased Lyngbya sp. after refill (October 2015)-- a group that can produce potent lethal neurotoxins, but toxin testing was not done as part of this study",water level; water temperature; pH; phosphorus; Other: COD,
128,Pham 2021,Toxic cyanobacteria and microcystin dynamics in a tropical reservoir: assessing the influence of environmental variables,Consensus,"The study correlates monthly observations with water level, but unclear how well season was disentangled from water level-- authors do say that water level is dependent on reservoir operations",No,1,Investigate dynamic of toxic cyanobacteria and microcystin concentration in a tropical reservoir,water level fluctuation,drawdown,Vietnam,Tri An,,11.2057,107.1479,1,monthly,All months,,27,8.5,NA,2.7 X 10^9,320,NA,12,,eutrophic,0.1-0.18 mg/L,,5,One depth,rainy; dry,"water temperature; secchi/transparency; light (PAR, photic zone); total suspended solids; Other: rainfall",pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); nitrate (NO3),filtered chlorophyll (ug/L); phytoplankton microscopy; Other: DNA qPCR,ground-based measurements,increase in phytoplankton quantity,,NA,,increase in cyanobacterial quantity; Other: increase in microcystins,,NA,,water level; precipitation; light (PAR or secchi depth); phosphorus; nitrogen,
72,Mendes 2022,The reduction in water volume favors filamentous cyanobacteria and heterocyst production in semiarid tropical reservoirs without the influence of the N:P ratio,Consensus,"WILL NEED TO COMBINE WITH EXTRTEMP NOTES. paper extracted in the multiple waterbodies sheet, depths >10m from supplement",Yes,3,"""The present study evaluated the effects of water volume reduction on cyanobacterial abundance and heterocyst production in semiarid tropical reservoirs during a period of prolonged drought.""",drought; drawdown,,,,,,,,quarterly,February; April; June; July; October; December,,,,,,,,,,,,,,,,water temperature; secchi/transparency; turbidity; total dissolved solids,pH; dissolved oxygen (DO); total phosphorus (TP); soluble reactive phosphorus (SRP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); salinity; Other: DIN and non algal turbidity (NAT) measured indirectly,filtered chlorophyll (ug/L); phytoplankton microscopy,ground-based measurements,,,,,,,,,,
71,Li 2018,Impact of water level fluctuations on the development of phytoplankton in a large subtropical reservoir: implications for the management of cyanobacteria,Consensus,"Compares 6 month ""low water"" and 6 month ""high water"" post flood",No,1,"Evaluate the influence of water level fluctuations (flood), temperature, stratification, and nutrients on the development of phytoplankton and cyanobacteria",water level fluctuation; flooding,,China,Hongfeng,,26.4806,106.4123,1,monthly,All months,,45,11,NA,6.01 x 10^8,57.2,NA,6,40%,not reported,10-90 ug/L peaks up to 140 ug/L in summer,,6,Multiple depths,,water temperature; secchi/transparency; Other: relative thermal resistance,pH; total phosphorus (TP); conductivity,phytoplankton microscopy,ground-based measurements,NA,,decrease in phytoplankton quantity; shift in phytoplankton groups,"3211 mm3 m-3 mean total biovolume in low level period, 2769 mm3 m-3 in high level",NA,,decrease in cyanobacterial quantity,"Limnothrix, Oscillatoria, and Pseudanabaena went from 581 mm3 m-3 under low level to 153 mm3 m-3 under high water level",water level; water temperature; Other: relative thermal resistance,
68,Magalhaes 2019,Environmental factors driving the dominance of the harmful bloom-forming cyanobacteria <i>Microcystis</i> and <i>Aphanocapsa</i> in a tropical water supply reservoir,Consensus,"an alum treatment was applied in 2015, modified clay was applied in 2016 and 2017, no crest gate controlling the overflow, this paper has a lot of really interesting and valuable info and the associated figures have six years of microcystis and aphanocapsa with water level",No,1,Surveyed the abundance and compositional changes of cyanobacteria in a tropical reservoir and analyzed effects of environmental factors using generalized linear models on a 6 year dataset,water level fluctuation,NA,Brazil,Joanes Reservoir I,,-12.568109,-38.199562,7,monthly; Other: fortnightly,All months,,16.78,,14.42,,186,,,,,0.08mg/L,,"did not specify, assuming 1","Other: chemical variables and phytoplankton samples except for 2015 were collected at one depth (0.5m), 2015 phytoplankton samples were collected at 3 depths","summer; winter; Other: ""characterized by two seasons, summer (October–
February), with low rainfall index and high temperatures, and 
winter (April–August), with more intense rainfall regime and 
milder temperatures"" ",water temperature; turbidity,"pH; total phosphorus (TP); nitrate (NO3); nitrite (NO2); ammonia/ammonium (NH4/NH3+); metals; conductivity; Other: BOD, aluminum, sulfate",phytoplankton microscopy; cyanobacterial toxins,ground-based measurements,NA,,,,increase in cyanobacterial quantity,"the model could quantify this, but was not directly reported",decrease in cyanobacterial quantity,"the model could quantify this, but was not directly reported",water level; precipitation; phosphorus; Other: aluminum,Yes
66,Pham 2022,Factors affecting the seasonal succession of phytoplankton functional groups in a tropical floodplain reservoir in Vietnam,Consensus,,No,1,Examine response of phytoplankton functional groups to hydrologic regime & physiochemical variables.,water level fluctuation,NA,Vietnam,Tri An,,11.1832,107.1567,1,monthly,All months,,NA,NA,NA,2.7x10^9,320,NA,9.2,,eutrophic,,,6,One depth,rainy; dry,water temperature; secchi/transparency; total suspended solids,pH; dissolved oxygen (DO); total phosphorus (TP); orthophosphate (ORP); total nitrogen (TN); total kjeldahl nitrogen (TKN); nitrate (NO3); dissolved inorganic nitrogen (DIN),filtered chlorophyll (ug/L); phytoplankton microscopy,ground-based measurements,decrease in phytoplankton quantity; shift in phytoplankton groups,,increase in phytoplankton quantity; shift in phytoplankton groups,,decrease in cyanobacterial quantity; shift away from cyanobacterial dominated phytoplankton community,"Microcystis was generally less than half of total biomass in dry season, but consistently dominated during dry season, comprising up to 81.6% of total biomass.",increase in cyanobacterial quantity; shift to more cyanobacterial dominated phytoplankton,"Microcystis bloom during rainy season, high water.","water level; precipitation; light (PAR or secchi depth); water temperature; Other: water level measured as water depth... other chemical predictors on secondary axis, but primary axis explained most of the variance",
64,Abirhire 2019,An examination of the long-term relationship between hydrologic variables and summer algal biomass in a large Prairie reservoir,Consensus,I've submitted an ILL request for the full text of this article,No,1,assessed effect of hydrological drought on chl-a using 31 years of hydrologic data and remotely sensed chl-a,drought,,Canada,Lake Diefenbaker,,51.031389,-106.835833,2,monthly,May; June; July; August; September; October,,59,22,NA,9.03e+9,394,NA,5.5,25,mesotrophic,,,15,One depth,,,,filtered chlorophyll (ug/L),ground-based measurements,increase in phytoplankton quantity; shift in phytoplankton groups,5.37 vs 6.06 ugL; mean Aug. concentrations in wet vs dry years,,,increase in cyanobacterial quantity,2% in wet years to up to 25% in dry years,,,water level; Other: inflow,
