SampleFk,TripID,StationID,CollectionDateTime,Depth_m,Division,GenusSpecies,Abundance,BioVolume_µm3_L,Flag,Notes
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Nitzschia acicularis,855.58,143737.94,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Bacillariophyta,Nitzschia inconspicua,3422.33,154004.94,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cryptophyta,Plagioselmis nannoplanctica,89836.21,7620171,,Cannot meet tally in 100 fields. 
46452,LP221018,LPCRDT03,10/17/2022 10:30,1,Cyanobacteria,Planktolyngbya limnetica,11978.16,188152.36,,Cannot meet tally in 100 fields. 
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Achnanthidium minutissimum,17111.66,967640.75,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Amphora sp.,855.58,2094680.5,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Cyanobacteria,Aphanocapsa sp.,283197.97,1186255.88,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Chlorophyta,Chlamydomonas sp.,1711.17,3899233.75,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Cocconeis placentula,101814.38,123145720,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Cryptophyta,Cryptomonas erosa,1711.17,4390222,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Cyclotella bodanica,7700.25,92893512,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Cyclotella meneghiniana,5989.08,15240342,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Cyclotella ocellata,22245.16,5660698.5,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Cymbella tumida,2566.75,90153248,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Diatoma vulgaris,320,1948307.88,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Encyonema minutum,6844.66,3285735.25,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Fragilaria crotonensis,2905.52,1944254,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Gomphonema sp.,2905.52,1179100,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Cyanobacteria,Gomphosphaeria sp.,11622.08,778918.69,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Nitzschia amphibia,4358.28,758340.75,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Cryptophyta,Plagioselmis nannoplanctica,38501.23,3265787.5,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Cryptophyta,Rhodomonas lacustris,13689.33,13324771,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Rhoicosphenia abbreviata,1452.76,963371.81,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Chlorophyta,Scenedesmus communis,6844.66,1075156.38,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Chlorophyta,Spirogyra sp.,4277.92,792336512,,Cannot meet tally in 100 fields.
46450,LP220919,LPCR-249,9/26/2022 13:45,0.1,Bacillariophyta,Synedra ulna,160,289029.16,,Cannot meet tally in 100 fields.
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Achnanthidium minutissimum,5703.89,322546.91,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cyanobacteria,Aphanocapsa sp.,1003884,4205056,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Aulacoseira granulata,5811.04,3213039.5,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Chlorophyta,Chlorella sp.,5703.89,373318.19,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cyanobacteria,Chroococcus sp.,15210.36,1720250.25,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Craticula sp.,19012.96,4255827.5,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cryptophyta,Cryptomonas erosa,5703.89,14048710,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Cyclotella bodanica,160,1477818.62,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Cyclotella ocellata,235760.64,47402448,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Encyonema minutum,80,57604.27,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cyanobacteria,Gomphosphaeria sp.,60841.46,4077630,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Nitzschia acicularis,1901.3,347937.06,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Bacillariophyta,Nitzschia inconspicua,3802.59,205339.92,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Chlorophyta,Oocystis sp.,15210.36,5073145.5,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cryptophyta,Plagioselmis nannoplanctica,254773.59,21610644,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Cryptophyta,Rhodomonas lacustris,55137.57,53669216,,
46448,LP220919,LPCRDT03,9/26/2022 10:30,1,Chlorophyta,Sphaerocystis schroeteri,640.01,114941.45,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Achnanthidium minutissimum,294700.81,16664924,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Aulacoseira granulata,1040.01,294055.75,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Pyrrophyta,Ceratium hirundinella,80,4041968,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Chlorophyta,Chlamydomonas sp.,47532.39,73170368,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Craticula sp.,57038.87,20427972,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Cryptophyta,Cryptomonas erosa,4358.28,12836184,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Cyclotella ocellata,2462177.75,495049792,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Fragilaria crotonensis,4358.28,2628850.5,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Cyanobacteria,Microcystis aeruginosa,8320.08,1494238.88,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Bacillariophyta,Navicula sp.,9506.48,12842146,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Chlorophyta,Oocystis sp.,76051.82,18636044,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Cyanobacteria,Oscillatoria tenuis,114768.05,36055416,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Cryptophyta,Plagioselmis nannoplanctica,57038.87,4838203.5,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Cryptophyta,Rhodomonas lacustris,76051.82,74026504,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Chlorophyta,Scenedesmus communis,76051.82,10950667,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Chlorophyta,Sphaerocystis schroeteri,418285,112134824,,
46449,LP220919,LPESC119,9/21/2022 17:50,1,Chlorophyta,Ulothrix subtilissima,180623.08,21279136,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Achnanthidium minutissimum,124448.43,7037387,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Cyanobacteria,Aphanizomenon sp.,20338.64,3194783.75,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Aulacoseira granulata,5360.05,2062788.5,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Pyrrophyta,Ceratium hirundinella,80,3299644.75,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Chlamydomonas sp.,38890.14,73306120,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Chlorella sp.,54446.19,3563491.75,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Closteriopsis longissima,1452.76,6346780,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Cosmarium sp.,1452.76,4350991,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Craticula sp.,248896.86,52780404,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Cryptophyta,Cryptomonas erosa,38890.14,99777768,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Cyclotella bodanica,80,738909.31,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Cyclotella meneghiniana,7778.03,22052924,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Cyclotella ocellata,70002.24,17813386,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Cyanobacteria,Dolichospermum sp.,18885.88,5062971.5,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Encyonema minutum,7778.03,4410511.5,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Fragilaria crotonensis,70002.24,46842608,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Pyrrophyta,Glenodinium sp.,1452.76,33385490,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Nitzschia acicularis,1452.76,292004.78,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Nitzschia sp.,7778.03,4725151.5,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Cryptophyta,Plagioselmis nannoplanctica,707800.44,60037708,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Cryptophyta,Rhodomonas lacustris,1120035.88,1321855872,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Scenedesmus communis,248896.86,35838544,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Chlorophyta,Sphaerocystis schroeteri,62224.21,11175110,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Synedra tenera,38890.14,5223061,,
46451,LP220919,LPCR2085,9/21/2022 11:30,1,Bacillariophyta,Synedra ulna,2905.52,7484921.5,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Achnanthidium minutissimum,8555.83,483820.38,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Cyanobacteria,Aphanizomenon sp.,116929.67,18367254,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Pyrrophyta,Ceratium hirundinella,80,3913245.25,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Chlamydomonas sp.,5703.89,8780444,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Chlorella sp.,25667.49,1679931.88,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Cyanobacteria,Chroococcus sp.,11407.77,3058222.5,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Craticula sp.,5703.89,1276748.25,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Crucigenia sp.,11622.08,976254.81,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Cyclotella ocellata,37075.26,7454417.5,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Cyclotella pseudostelligera,128337.45,32657874,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Encyonema minutum,1452.76,786479.62,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Fragilaria capucina,5703.89,1370824.38,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Fragilaria crotonensis,2905.52,2245476.5,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Nitzschia inconspicua,4358.28,209197.45,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Nitzschia sp.,80,35400.35,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Oocystis sp.,102669.96,28975464,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Cryptophyta,Plagioselmis nannoplanctica,519053.69,44027652,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Cyanobacteria,Pseudanabaena limnetica,54186.92,1021398.56,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Cryptophyta,Rhodomonas lacustris,17111.66,20195020,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Scenedesmus communis,22815.55,3285200,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Chlorophyta,Sphaerocystis schroeteri,342233.19,61463104,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Staurosirella pinnata,1452.76,376528.06,,
46447,LP220919,LPCR1679,9/21/2022 8:00,1,Bacillariophyta,Synedra ulna,80,164620.95,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Aphanizomenon sp.,34866.24,6161368.5,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Aphanocapsa sp.,6404649.5,26827712,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Pyrrophyta,Ceratium hirundinella,80,3828086.5,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Chlorophyta,Chlorella sp.,48890.46,3199870.25,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Chroococcus sp.,32593.64,17065974,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Bacillariophyta,Cocconeis placentula,1452.76,2310513.25,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cryptophyta,Cryptomonas erosa,24445.23,74876960,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Bacillariophyta,Cyclotella meneghiniana,8148.41,23103062,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Bacillariophyta,Cyclotella ocellata,444088.31,113006616,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Bacillariophyta,Cyclotella pseudostelligera,24445.23,11615529,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Gomphosphaeria sp.,55204.88,3237380.75,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Microcystis aeruginosa,6240.06,705733.81,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Chlorophyta,Oocystis sp.,320,128680.8,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cyanobacteria,Oscillatoria tenuis,9120.09,3466842,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cryptophyta,Plagioselmis nannoplanctica,598908.06,50801140,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Cryptophyta,Rhodomonas lacustris,44816.25,52891720,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Chlorophyta,Sphaerocystis schroeteri,220007.05,24882190,,
46446,LP220919,LPCR1169,9/20/2022 15:40,1,Chlorophyta,Ulothrix subtilissima,77409.89,9119630,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Achnanthidium minutissimum,176820.48,9998954,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cyanobacteria,Aphanizomenon sp.,1452.76,256723.69,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cyanobacteria,Aphanocapsa sp.,5258983.5,22028760,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Aulacoseira granulata,1360.01,628072.94,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Botryococcus braunii,2560.03,93829.76,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Pyrrophyta,Ceratium hirundinella,320,15965384,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Chlamydomonas sp.,1452.76,2738386,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Chlorella sp.,68446.64,4479818,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cyanobacteria,Chroococcus sp.,45631.09,1529111.25,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Coelastrum sp.,11622.08,2087258.62,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Craticula sp.,22815.55,5106993,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Crucigenia quadrata,45631.09,2920390,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cryptophyta,Cryptomonas erosa,45631.09,129018768,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Cyclotella bodanica,80,848237.75,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Cyclotella meneghiniana,11407.77,32344288,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Cyclotella ocellata,313713.75,98556000,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Cyclotella pseudostelligera,45631.09,11611689,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Fragilaria capucina,1452.76,807823.88,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Fragilaria crotonensis,450607.03,331255680,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Bacillariophyta,Nitzschia sp.,5703.89,3978460.75,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cryptophyta,Plagioselmis nannoplanctica,519053.69,44027652,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Cryptophyta,Rhodomonas lacustris,131189.39,154828496,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Scenedesmus communis,11622.08,1673458.12,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Sphaerocystis schroeteri,114077.73,20487702,,
46445,LP220919,LPSJR193,9/20/2022 11:40,1,Chlorophyta,Ulothrix subtilissima,24696.92,3232816.75,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Cyanobacteria,Aphanizomenon sp.,3866.71,683302.62,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Cyanobacteria,Aphanocapsa delicatissima,362273.88,23710.75,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Cyanobacteria,Aphanocapsa sp.,6605717,27669940,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Cyanobacteria,Chroococcus sp.,30831.82,5537217,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Bacillariophyta,Craticula sp.,4842.53,1083944.5,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Chlorophyta,Crucigenia quadrata,15415.91,986618.19,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Chlorophyta,Crucigenia sp.,123327.27,15785891,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Cryptophyta,Cryptomonas erosa,57809.66,163452832,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Bacillariophyta,Cyclotella ocellata,50101.71,12749320,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Bacillariophyta,Cyclotella pseudostelligera,2421.27,608530.25,,
46443,LP220919,LPCR0905,9/20/2022 9:50,1,Bacillariophyta,Diatoma vulgaris,4842.53,25558270,,
