SampleFk,TripID,StationID,CollectionDateTime,MinDepth_m,MaxDepth_m,Division,GenusSpecies,Abundance,BioMass,Notes,Flag
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Cladocera,Eubosmina coregoni,0.01,0.01,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Rotifera,Gastropus stylifer,0,0,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Rotifera,Keratella hiemalis,0.01,0,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Copepoda,nauplii larvae,0.03,0,Low abundance. Tally not met.,
46970,LP221114,LPCR0024,11/14/2022 12:30,30,60,Bivalvia,Quagga veliger,0.31,0.02,Low abundance. Tally not met.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Aglaodiaptomus clavipes,0.35,7.46,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Cladocera,Bosmina longirostris,0.09,0.1,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Calanoid copepodid,0.19,0.58,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Cyclopoid copepodid,0.14,0.02,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Cladocera,Daphnia galeata,0.6,5.87,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Cladocera,Daphnia pulex,0.14,2.78,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Diacyclops thomasi,0.02,0.05,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Cladocera,Diaphanosoma brachyurum,0.02,0.06,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Rotifera,Euchlanis spp.,0.05,0.01,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Harpacticoida sp.,0.05,0,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Rotifera,Lepadella acuminata,0.02,0,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Rotifera,Lepadella ovalis,0.02,0,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Leptodiaptomus ashlandi,0.07,0.11,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Leptodiaptomus siciloides,0.02,0.06,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Macrocyclops albidus,0.02,0.09,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Mesocyclops edax,0.07,0.12,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,nauplii larvae,1.23,0.07,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Bivalvia,Quagga veliger,1.53,0.05,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Skistodiaptomus pallidus,0.09,0.45,Microcystis present.,
46968,LP221018,LPCR-249,10/18/2022 19:00,0,0,Copepoda,Tropocyclops prasinus,0.02,0.02,Microcystis present.,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Aglaodiaptomus clavipes,0.23,4.3,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Rotifera,Ascomorpha ovalis,0.05,0,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Calanoid copepodid,0.52,1.97,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Rotifera,Collotheca spp.,0.05,0,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Rotifera,Conochilus unicornis,0.14,0,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Cyclopoid copepodid,0.7,0.28,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Cladocera,Daphnia galeata,0.66,4.88,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Cladocera,Daphnia pulex,0.94,12.24,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Cladocera,Daphnia spp.,0.05,0.14,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Cladocera,Diaphanosoma brachyurum,0.05,0.06,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Cladocera,Eubosmina coregoni,0.19,0.18,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Leptodiaptomus ashlandi,0.19,0.26,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Leptodiaptomus siciloides,0.28,0.69,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Mesocyclops edax,0.23,0.49,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,nauplii larvae,2.58,0.27,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Rotifera,Polyarthra vulgaris,0.09,0,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Bivalvia,Quagga veliger,3.38,0.11,,
46966,LP221018,LPCR0024,10/18/2022 10:45,0,30,Copepoda,Tropocyclops prasinus,0.05,0.04,,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Cladocera,Bosmina longirostris,0.01,0.01,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Calanoid copepodid,0.01,0.01,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Cyclopoid copepodid,0.03,0,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Cladocera,Daphnia galeata,0.01,0.02,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Cladocera,Daphnia pulex,0.02,1.18,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Cladocera,Daphnia spp.,0.01,0.12,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Diacyclops thomasi,0,0.01,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Rotifera,Keratella hiemalis,0.01,0,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Rotifera,Lecane spp.,0,0,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Mesocyclops edax,0.01,0.07,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,nauplii larvae,0.02,0,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Rotifera,Polyarthra vulgaris,0.01,0,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Bivalvia,Quagga veliger,0.22,0.01,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Skistodiaptomus pallidus,0,0.02,Low abundance.,
46967,LP221018,LPCR0024,10/18/2022 10:45,30,60,Copepoda,Tropocyclops prasinus,0,0,Low abundance.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Calanoid copepodid,0.09,0.07,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Cyclopoid copepodid,0.4,0.64,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Cladocera,Daphnia pulex,0.02,1.19,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Diacyclops thomasi,0.05,0.08,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Cladocera,Diaphanosoma brachyurum,0.02,0,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Leptodiaptomus ashlandi,0.03,0.05,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Leptodiaptomus siciloides,0.02,0.03,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,Mesocyclops edax,0.02,0.04,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Copepoda,nauplii larvae,1.99,0.16,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Rotifera,Polyarthra vulgaris,0.03,0,High algae. Specimens degraded.,
46965,LP221018,LPCRDT03,10/17/2022 10:30,18.367,18.367,Bivalvia,Quagga veliger,0.53,0.01,High algae. Specimens degraded.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Ascomorpha ecaudis,0.29,0.01,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Bdelloidea sp.,0.03,0,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Cladocera,Bosmina longirostris,0.13,0.17,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,Calanoid copepodid,0.39,0.81,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Cephalodella spp.,0.03,0,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,Cyclopoid copepodid,0.23,0.49,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Cladocera,Daphnia galeata,0.07,0.27,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Cladocera,Daphnia pulex,0.2,5.53,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Cladocera,Diaphanosoma brachyurum,0.07,0.09,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,Harpacticoida sp.,0.03,0,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Lepadella ovalis,0.16,0,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,Leptodiaptomus ashlandi,0.07,0.13,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,Leptodiaptomus siciloides,0.1,0.25,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Copepoda,nauplii larvae,2.03,0.19,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Polyarthra vulgaris,0.29,0.01,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Proales spp.,0.07,0,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Bivalvia,Quagga veliger,2.72,0.06,High algae and detritus. Microcystis present.,
46964,LP220919,LPCR-249,9/26/2022 13:45,0,0,Rotifera,Synchaeta spp.,0.16,0,High algae and detritus. Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Rotifera,Ascomorpha ecaudis,0.97,0.01,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Cladocera,Bosmina longirostris,0.19,0.28,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Calanoid copepodid,2.33,3.63,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Cyclopoid copepodid,0.78,0.57,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Cladocera,Daphnia galeata,0.39,1.23,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Cladocera,Daphnia pulex,1.94,24.37,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Diacyclops thomasi,0.39,0.72,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Cladocera,Diaphanosoma brachyurum,0.97,0.84,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Harpacticoida sp.,0.19,0.02,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Rotifera,Hexarthra spp.,0.78,0.01,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Leptodiaptomus ashlandi,0.19,0.37,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,Leptodiaptomus siciloides,0.78,2.11,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Rotifera,Macrochaetus spp.,0.19,0,Microcystis present.,
46564,LP220919,LPCRDT03,9/26/2022 10:30,18.178,18.178,Copepoda,nauplii larvae,16.1,1.24,Microcystis present.,
